Player,Age,G,MP,FGA,eFG%,TRB,AST,PTS
Jonathon Simmons,28,69,29.4,11,0.511,3.5,2.5,13.9
Jayson Tatum,19,80,30.5,10.4,0.538,5,1.6,13.9
Marcus Morris,28,54,26.7,11.3,0.499,5.4,1.3,13.6
DeMarre Carroll,31,73,29.9,10.8,0.506,6.6,2,13.5
Rudy Gobert,25,56,32.4,7.9,0.622,10.7,1.4,13.5
Buddy Hield,25,80,25.3,11.7,0.54,3.8,1.9,13.5
Kentavious Caldwell-Pope,24,74,33.2,10.8,0.526,5.2,2.2,13.4
Kris Dunn,23,52,29.3,12.8,0.462,4.3,6,13.4
Michael Beasley,29,74,22.3,10.9,0.528,5.6,1.7,13.2
Allen Crabbe,25,75,29.3,11,0.529,4.3,1.6,13.2
Bobby Portis,22,73,22.5,11.1,0.52,6.8,1.7,13.2
Josh Jackson,20,77,25.4,12.1,0.448,4.6,1.5,13.1
Ricky Rubio,27,77,29.3,10.7,0.476,4.6,5.3,13.1
Malcolm Brogdon,25,48,29.9,10.5,0.547,3.3,3.2,13
Brook Lopez,29,74,23.4,10.7,0.536,4,1.7,13
Kent Bazemore,28,65,27.5,10.4,0.5,3.8,3.5,12.9
Al Horford,31,72,31.6,10.5,0.553,7.4,4.7,12.9
Jeremy Lamb,25,80,24.6,10.4,0.513,4.1,2.3,12.9
Josh Richardson,24,81,33.2,10.9,0.523,3.5,2.9,12.9
Trey Burke,25,36,21.8,10.7,0.552,2,4.7,12.8
Willie Cauley-Stein,24,73,28,10.6,0.504,7,2.4,12.8
Elfrid Payton,23,63,28.7,10.6,0.516,4.3,6.2,12.7
Wesley Matthews,31,63,33.8,11.1,0.516,3.1,2.7,12.7
Myles Turner,21,65,28.2,9.8,0.523,6.4,1.3,12.7
Jonas Valančiūnas,25,77,22.4,8.9,0.59,8.6,1.1,12.7
Robert Covington,27,80,31.7,10.5,0.534,5.4,2,12.6
Spencer Dinwiddie,24,80,28.8,10.5,0.471,3.2,6.6,12.6
Serge Ibaka,28,76,27.5,10.3,0.552,6.3,0.8,12.6
Jabari Parker,22,31,24,10.7,0.529,4.9,1.9,12.6
E'Twaun Moore,28,82,31.5,10.1,0.585,2.9,2.3,12.5
Darren Collison,30,69,29.2,9.2,0.571,2.6,5.3,12.4
Derrick Favors,26,77,28,9.1,0.573,7.2,1.3,12.3
Patrick Beverley,29,11,30.4,10.8,0.504,4.1,2.9,12.2
Taj Gibson,32,82,33.2,9,0.581,7.1,1.2,12.2
Justin Holiday,28,72,31.5,10.9,0.474,4,2.1,12.2
Marco Belinelli,31,80,24.3,9.6,0.539,1.9,1.9,12.1
Gerald Green,32,41,22.7,10.1,0.54,3.2,0.6,12.1
Caris LeVert,23,71,26.3,10.4,0.493,3.7,4.2,12.1
Andre Ingram,32,2,32,8.5,0.618,3,3.5,12
DeAndre Jordan,29,77,31.5,7.5,0.645,15.2,1.5,12
Courtney Lee,32,76,30.4,9.9,0.529,2.9,2.4,12
Dirk Nowitzki,39,77,24.7,9.8,0.547,5.7,1.6,12
Bogdan Bogdanović,25,78,27.9,9.9,0.529,2.9,3.3,11.8
Robin Lopez,29,64,26.4,10.1,0.533,4.5,1.9,11.8
Kelly Oubre Jr.,22,81,27.5,9.8,0.482,4.5,1.2,11.8
Thaddeus Young,29,81,32.2,10.7,0.521,6.3,1.9,11.8
Trevor Ariza,32,67,33.9,9.7,0.542,4.4,1.6,11.7
Tyler Johnson,25,72,28.5,9.9,0.518,3.4,2.3,11.7
J.J. Barea,33,69,23.2,10,0.522,2.9,6.3,11.6
Nicolas Batum,29,64,31,10.2,0.486,4.8,5.5,11.6
De'Aaron Fox,20,73,27.8,10.9,0.441,2.8,4.4,11.6
Domantas Sabonis,21,74,24.5,8.9,0.524,7.7,2,11.6
Rudy Gay,31,57,21.6,9.4,0.506,5.1,1.3,11.5
Joe Ingles,30,82,31.4,8.8,0.609,4.2,4.8,11.5
Markieff Morris,28,73,27,9.4,0.536,5.6,1.9,11.5
Kelly Olynyk,26,76,23.4,8.4,0.58,5.7,2.7,11.5
Dwyane Wade,36,67,22.9,10.2,0.462,3.8,3.4,11.4
Reggie Bullock,26,62,27.9,8.8,0.603,2.5,1.5,11.3
Terry Rozier,23,80,25.9,10,0.491,4.7,2.9,11.3
Wayne Ellington,30,77,26.5,9.1,0.569,2.8,1,11.2
Frank Kaminsky,24,79,23.2,9.1,0.501,3.6,1.6,11.1
Dillon Brooks,22,82,28.7,9.4,0.501,3.1,1.6,11
Draymond Green,27,70,32.7,8.8,0.516,7.6,7.3,11
Montrezl Harrell,24,76,17,7.2,0.636,4,1,11
Ersan İlyasova,30,69,25.1,8.9,0.526,5.9,1.3,10.9
Ish Smith,29,82,24.9,9.8,0.507,2.7,4.4,10.9
Jeff Green,31,78,23.4,7.9,0.52,3.2,1.3,10.8
Joe Harris,26,78,25.3,8,0.612,3.3,1.6,10.8
James Johnson,30,73,26.6,8.4,0.55,4.9,3.8,10.8
Damion Lee,25,15,26.9,10.1,0.457,4.7,1.9,10.7
John Collins,20,74,24.1,7.4,0.591,7.3,1.3,10.5
Greg Monroe,27,51,20.4,7.6,0.565,6.9,2.2,10.3
Jamal Crawford,37,80,20.7,9.3,0.485,1.2,2.3,10.3
JaMychal Green,27,55,28,8.9,0.501,8.4,1.4,10.3
D.J. Augustin,30,75,23.5,7.2,0.557,2.1,3.8,10.2
Lonzo Ball,20,52,34.2,10.8,0.44,6.9,7.2,10.2
Yogi Ferrell,24,82,27.8,8.9,0.518,3,2.5,10.2
Marcus Smart,23,54,29.9,9.5,0.44,3.5,4.8,10.2
Denzel Valentine,24,77,27.2,9.4,0.517,5.1,3.2,10.2
Pau Gasol,37,77,23.5,8.1,0.492,8,3.1,10.1
George Hill,31,67,27,7.7,0.543,2.7,2.8,10
Wilson Chandler,30,74,31.7,8.5,0.515,5.4,2.1,10
Dewayne Dedmon,28,62,24.9,7.7,0.577,7.9,1.5,10
C.J. Miles,30,70,19.1,8.6,0.516,2.2,0.8,10
Patty Mills,29,82,25.7,8.3,0.523,1.9,2.8,10
Trey Lyles,22,73,19.1,7.5,0.566,4.8,1.2,9.9
Jae Crowder,27,80,26.1,8.4,0.486,3.4,1.2,9.7
Tyrone Wallace,23,30,28.4,8.2,0.466,3.5,2.4,9.7
Mario Hezonja,22,75,22.1,8.2,0.515,3.7,1.4,9.6
Quinn Cook,24,33,22.4,7.6,0.575,2.5,2.7,9.5
Andrew Harrison,23,56,23.7,7.7,0.477,2.3,3.2,9.5
Miloš Teodosić,30,45,25.2,8,0.542,2.8,4.6,9.5
Marvin Williams,31,78,25.7,7.2,0.57,4.7,1.2,9.5
Mike James,27,36,19.1,8.9,0.424,2.5,3.5,9.3
Al-Farouq Aminu,27,69,30,8.4,0.503,7.6,1.2,9.3
Ryan Anderson,29,66,26.1,7.3,0.568,5,0.9,9.3
Wayne Selden,23,35,19.8,7.7,0.522,1.6,1.9,9.3
Michael Kidd-Gilchrist,24,74,25,7.6,0.504,4.1,1,9.2
Kyle Korver,36,73,21.6,6.6,0.628,2.3,1.2,9.2
Lance Stephenson,27,82,22.6,8.6,0.475,5.2,2.9,9.2
Troy Daniels,26,79,20.5,7.3,0.563,1.6,0.6,8.9
Manu Ginóbili,40,65,20,7.1,0.503,2.2,2.5,8.9
Anthony Tolliver,32,79,22.2,6,0.632,3.1,1.1,8.9
John Henson,27,76,25.9,6.6,0.573,6.8,1.5,8.8
Cameron Payne,23,25,23.3,8.6,0.486,2.8,4.5,8.8
Mike Scott,29,76,18.5,6.9,0.59,3.3,1.1,8.8
Larry Nance Jr.,25,66,21.5,6.3,0.584,6.8,1.2,8.7
Stanley Johnson,21,69,27.4,8.1,0.435,3.7,1.6,8.7
Skal Labissière,21,60,20.7,7.6,0.467,4.8,1.2,8.7
Johnathan Motley,22,11,16,6.8,0.54,4.5,0.6,8.7
Shabazz Napier,26,74,20.7,7.2,0.497,2.3,2,8.7
Terrence Ross,26,24,25,8,0.476,3,1.6,8.7
Isaiah Canaan,26,20,21.1,6.9,0.46,2.3,3.8,8.6
Emmanuel Mudiay,21,64,19.5,8.2,0.433,2.4,3.2,8.6
Danny Green,30,70,25.6,8,0.49,3.6,1.6,8.6
Fred VanVleet,23,76,20,7.2,0.525,2.4,3.2,8.6
Jonathan Gibson,30,4,10,5.8,0.739,0.8,1,8.5
Alex Len,24,69,20.2,5.5,0.567,7.5,1.2,8.5
Dwight Powell,26,79,21.2,5.4,0.626,5.6,1.2,8.5
Derrick Rose,29,25,16.8,7.4,0.454,1.4,1.5,8.4
Devin Harris,34,71,18.9,6.4,0.499,1.8,2.1,8.4
Marcin Gortat,33,82,25.3,6.8,0.518,7.6,1.8,8.4
Jerami Grant,23,81,20.3,5.6,0.57,3.9,0.7,8.4
Jerian Grant,25,74,22.8,6.8,0.476,2.3,4.6,8.4
Garrett Temple,31,65,24.8,7.3,0.512,2.3,1.9,8.4
Rajon Rondo,31,65,26.2,7.6,0.518,4,8.2,8.3
J.R. Smith,32,80,28.1,7.4,0.524,2.9,1.8,8.3
Jarrett Allen,19,72,20,5.5,0.596,5.4,0.7,8.2
Thabo Sefolosha,33,38,21.2,6.3,0.558,4.2,0.9,8.2
Evan Turner,29,79,25.7,7.3,0.484,3.1,2.2,8.2
Dante Exum,22,14,16.8,6.2,0.511,1.9,3.1,8.1
Dejounte Murray,21,81,21.5,7.5,0.451,5.7,2.9,8.1
Aaron Jackson,31,1,35,9,0.389,3,1,8
Delon Wright,25,69,20.8,6.3,0.53,2.9,2.9,8
Kyle Anderson,24,74,26.7,5.9,0.549,5.4,2.7,7.9
Jerryd Bayless,29,39,23.7,6.7,0.519,2.1,1.4,7.9
Antonio Blakeney,21,19,16.5,7.5,0.423,1.7,1.1,7.9
Josh Hart,22,63,23.2,6,0.573,4.2,1.3,7.9
Cory Joseph,26,82,27,7.4,0.479,3.2,3.2,7.9
Frank Mason III,23,52,18.9,7.3,0.42,2.5,2.8,7.9
David Nwaba,25,70,23.5,6,0.499,4.7,1.5,7.9
Chandler Parsons,29,36,19.2,6.5,0.571,2.5,1.9,7.9
Doug McDermott,26,81,21.8,6.3,0.557,2.5,1,7.8
Darius Miller,27,82,23.7,5.9,0.594,2,1.4,7.8
Tyler Ulis,22,71,23.4,7.8,0.426,1.8,4.4,7.8
Justise Winslow,21,68,24.7,7.2,0.474,5.4,2.2,7.8
Alec Burks,26,64,16.5,6.5,0.467,3,1,7.7
Mario Chalmers,31,66,21.5,6.7,0.439,2.4,3,7.7
Marquese Chriss,20,72,21.2,6.6,0.482,5.5,1.2,7.7
Jarell Martin,23,73,22.8,6.8,0.48,4.4,1,7.7
Tony Parker,35,55,19.5,7.1,0.472,1.7,3.5,7.7
Marreese Speights,30,52,13,6.7,0.519,2.6,0.8,7.7
Luke Kennard,21,73,20,6.4,0.53,2.4,1.7,7.6
Mike Muscala,26,53,20,5.9,0.558,4.3,1,7.6
Jarrett Jack,34,62,25,7.1,0.455,3.1,5.6,7.5
Luc Mbah a Moute,31,61,25.6,5.7,0.572,3,0.9,7.5
Ben McLemore,24,56,19.5,6.7,0.495,2.5,0.9,7.5
Dwight Buycks,28,29,14.7,6.8,0.452,1.4,2,7.4
Ian Clark,26,74,19.7,6.7,0.511,1.7,1.5,7.4
Pascal Siakam,23,81,20.7,6.1,0.537,4.5,2,7.3
Nick Young,32,80,17.4,6.1,0.538,1.6,0.5,7.3
Tyler Dorsey,21,56,17.4,6.8,0.471,2.3,1.4,7.2
Tomáš Satoranský,26,73,22.5,5.3,0.585,3.2,3.9,7.2
James Ennis III,27,72,22.3,5.3,0.54,3.1,1,7.1
Markelle Fultz,19,14,18.1,7.9,0.405,3.1,3.8,7.1
Kyle O'Quinn,27,77,18,5,0.589,6.1,2.1,7.1
Mason Plumlee,27,74,19.4,5,0.601,5.4,1.9,7.1
Mirza Teletović,32,10,15.9,5.7,0.623,2.3,1,7.1
Cody Zeller,25,33,19,4.7,0.551,5.4,0.9,7.1
Al Jefferson,33,36,13.4,5.8,0.534,4,0.8,7
Jamil Wilson,27,15,18.3,5.4,0.636,2.1,0.7,7
Bam Adebayo,20,69,19.8,4.9,0.512,5.5,1.5,6.9
Raymond Felton,33,82,16.6,6.7,0.479,1.9,2.5,6.9
Bryn Forbes,24,80,19,6.2,0.51,1.4,1,6.9
Shelvin Mack,27,69,19.8,6,0.488,2.4,3.9,6.9
Jakob Poeltl,22,82,18.6,4.7,0.66,4.8,0.7,6.9
Tony Snell,26,75,27.4,5.7,0.562,1.9,1.3,6.9
Joe Johnson,36,55,21.9,6.5,0.461,3.1,1.5,6.8
Nemanja Bjelica,29,67,20.5,5.5,0.563,4.1,1.3,6.8
David West,37,73,13.7,5.2,0.575,3.3,1.9,6.8
Tyler Zeller,28,66,16.8,5.1,0.575,4.6,0.7,6.7
Aaron Harrison,23,9,25.9,7.7,0.341,2.7,1.2,6.7
Justin Jackson,22,68,22.1,6.2,0.51,2.8,1.1,6.7
Luke Kornet,22,20,16.3,6.3,0.504,3.2,1.3,6.7
Kosta Koufos,28,71,19.6,5.5,0.571,6.6,1.2,6.7
Malik Monk,19,63,13.6,6.7,0.458,1,1.4,6.7
Jordan Crawford,29,5,10.6,5.4,0.593,0.8,2.6,6.6
Shaquille Harrison,24,23,16.7,5.4,0.5,2.7,2.4,6.6
Danuel House Jr.,24,23,17.5,5.6,0.492,3.3,1.1,6.6
Isaiah Taylor,23,67,17.4,5.8,0.444,1.4,3.1,6.6
Dragan Bender,20,82,25.2,5.9,0.508,4.4,1.6,6.5
Tyson Chandler,35,46,25,4.1,0.647,9.1,1.2,6.5
Maurice Harkless,24,59,21.4,5,0.577,2.7,0.9,6.5
Nenê,35,52,14.6,4.6,0.569,3.4,0.9,6.5
Richaun Holmes,24,48,15.5,5,0.568,4.4,1.3,6.5
Josh Gray,24,5,17.2,8.2,0.305,2,2.4,6.4
Sean Kilpatrick,28,52,12.3,5.7,0.452,1.7,0.9,6.3
Trevor Booker,30,68,17,5,0.528,4.7,1.2,6.3
Troy Williams,23,21,14.6,5.2,0.518,3,0.8,6.3
Jahlil Okafor,22,28,12.6,4.9,0.562,3,0.4,6.3
Malcolm Delaney,28,54,18.8,5.3,0.463,1.9,3,6.3
T.J. McConnell,25,76,22.4,5.5,0.531,3,4,6.3
Jodie Meeks,30,77,14.5,5.1,0.491,1.6,0.9,6.3
Isaiah Whitehead,22,16,11.3,5.4,0.506,1.6,1.3,6.3
Justin Anderson,24,38,13.7,5.3,0.515,2.4,0.7,6.2
Langston Galloway,26,58,14.9,5.9,0.481,1.6,1,6.2
Kobi Simmons,20,32,20.1,5.9,0.452,1.6,2.1,6.1
P.J. Tucker,32,82,27.8,5.4,0.52,5.6,0.9,6.1
Boban Marjanović,29,39,8.6,3.8,0.534,3.7,0.6,6
Aron Baynes,31,81,18.3,5.5,0.474,5.4,1.1,6
Andre Iguodala,34,64,25.3,5,0.514,3.8,3.3,6
Rodney Purvis,23,16,18.1,6.7,0.388,1.7,1.1,6
Quincy Acy,27,70,19.4,5.2,0.496,3.7,0.8,5.9
OG Anunoby,20,74,20,4.7,0.577,2.5,0.7,5.9
