Player,Age,G,MP,FGA,eFG%,TRB,AST,PTS
Alec Peters,22,20,11.3,3.7,0.5,1.9,0.6,4.1
Glenn Robinson III,24,23,14.7,3.7,0.506,1.6,0.7,4.1
Lance Thomas,29,73,18.5,3.7,0.476,2.4,0.6,4.1
Sterling Brown,22,54,14.4,3.8,0.478,2.6,0.5,4
Henry Ellenson,21,38,8.7,3.8,0.432,2.1,0.5,4
Kevon Looney,21,66,13.8,2.9,0.583,3.3,0.6,4
Patrick McCaw,22,57,16.9,3.9,0.451,1.4,1.4,4
Jordan Mickey,23,23,12.3,3.6,0.488,3.5,0.4,4
Chinanu Onuaku,21,1,22,5,0.4,4,1,4
Alan Williams,25,5,14,3.6,0.389,4.4,1.6,4
Paul Zipser,23,54,15.3,4.3,0.425,2.4,0.9,4
Cedi Osman,22,61,11,3,0.57,2,0.7,3.9
Patrick Patterson,28,82,15.5,3.2,0.523,2.4,0.7,3.9
Sindarius Thornwell,23,73,15.8,3.2,0.479,1.9,0.9,3.9
Joe Young,25,53,10.5,3.5,0.497,1.2,0.7,3.9
R.J. Hunter,24,5,9,4,0.425,1,0.6,3.8
Wes Iwundu,23,62,16.5,3.5,0.447,2.2,0.9,3.7
Marquis Teague,24,3,24.7,5.3,0.281,2,4.3,3.7
Ante Žižić,21,32,6.7,2.1,0.731,1.9,0.2,3.7
Ivica Zubac,20,43,9.5,2.8,0.5,2.9,0.6,3.7
Kay Felder,22,16,8.8,4.4,0.329,1.1,1.3,3.6
Alex Caruso,23,37,15.2,3.1,0.487,1.8,2,3.6
Tarik Black,26,51,10.5,2.5,0.594,3.2,0.3,3.5
Salah Mejri,31,61,12,2.2,0.642,4,0.6,3.5
Malachi Richardson,22,26,12.5,3.5,0.4,1.3,0.5,3.4
Arron Afflalo,32,53,12.9,3.1,0.485,1.2,0.6,3.4
Milton Doyle,24,10,12.5,4.7,0.319,1.8,1,3.4
Walt Lemon Jr.,25,5,7,3.2,0.469,0.4,1,3.4
Meyers Leonard,25,33,7.7,2.4,0.66,2.1,0.5,3.4
Jason Smith,31,33,8.6,3.5,0.409,1.6,0.4,3.4
Dwayne Bacon,22,53,13.5,3.6,0.404,2.3,0.7,3.3
Juancho Hernangómez,22,25,11.1,3,0.48,2.2,0.5,3.3
Monte Morris,22,3,8.3,2,0.667,0.7,2.3,3.3
David Stockton,26,3,3,1,1,0,0,3.3
Jason Terry,40,51,16,3,0.513,0.9,1.2,3.3
Okaro White,25,6,13.3,2.7,0.563,1.8,0.3,3.3
Malik Beasley,21,62,9.4,2.9,0.489,1.1,0.5,3.2
Kyle Collinsworth,26,32,15,3.1,0.404,3.3,1.8,3.2
Jared Dudley,32,48,14.3,2.5,0.512,2,1.6,3.2
Derrick White,23,17,8.2,1.9,0.606,1.5,0.5,3.2
Derrick Jones Jr.,20,20,12.3,2.7,0.425,1.9,0.5,3.1
Terrance Ferguson,19,61,12.5,2.8,0.533,0.8,0.3,3.1
Nigel Hayes-Davis,23,9,13.6,3.7,0.394,2.4,0.7,3
Gary Payton II,25,23,9.6,3.2,0.446,1.9,0.9,3
Jabari Bird,23,13,8.8,2,0.635,1.5,0.6,3
Anthony Brown,25,1,4,1,1.5,0,1,3
Tim Frazier,27,59,14.2,2.9,0.445,1.9,3.3,3
Naz Mitrou-Long,24,1,1,1,1.5,0,0,3
Abdel Nader,24,48,10.9,3.1,0.413,1.5,0.5,3
Kendrick Perkins,33,1,15,2,0.5,1,2,3
Davon Reed,22,21,11.5,3.6,0.362,1.9,0.6,3
Gian Clavell,24,7,9.1,2.6,0.5,1,0.4,2.9
T.J. Leaf,20,53,8.7,2.6,0.537,1.5,0.2,2.9
Briante Weber,25,18,13.2,2.4,0.488,1.9,1.2,2.8
Darrell Arthur,29,19,7.4,2.5,0.553,0.8,0.5,2.8
James Young,22,6,10.2,2.3,0.464,0.3,0.3,2.8
James Michael McAdoo,25,3,6,2.3,0.429,0.7,0,2.7
Semi Ojeleye,23,73,15.8,2.6,0.452,2.2,0.3,2.7
Josh Magette,28,18,12,2.6,0.413,1.1,3.2,2.6
Ekpe Udoh,30,63,12.9,1.9,0.5,2.4,0.8,2.6
Bobby Brown,33,20,5.8,2.9,0.422,0.4,0.6,2.5
Malcolm Miller,24,15,8.4,1.9,0.607,1,0.2,2.5
Lucas Nogueira,25,49,8.5,1.6,0.644,1.8,0.4,2.5
Brice Johnson,23,18,5.4,2.3,0.476,1.7,0.1,2.4
Ron Baker,24,29,13.3,2,0.432,1,1.6,2.4
Solomon Hill,26,12,15.6,3.4,0.317,3,1.8,2.4
Chris McCullough,22,19,4.7,2.2,0.44,1.3,0.2,2.4
Marcus Paige,24,5,5.6,2.8,0.357,0.8,0.6,2.4
Guerschon Yabusele,22,33,7.1,1.8,0.525,1.6,0.5,2.4
Rashad Vaughn,21,28,7.6,2,0.536,0.8,0.5,2.3
Aaron Brooks,33,32,5.9,2.2,0.486,0.5,0.6,2.3
Lorenzo Brown,27,14,9.9,2.4,0.441,1.1,0.9,2.3
John Holland,29,24,7.3,2.5,0.381,1,0.2,2.3
Josh Huestis,26,69,14.2,2.6,0.42,2.3,0.3,2.3
Brandon Paul,26,64,9,2,0.492,1.1,0.6,2.3
Caleb Swanigan,20,27,7,2.2,0.408,2,0.5,2.3
Bruno Caboclo,22,12,8.9,2.6,0.339,1.8,0.3,2.2
Nick Collison,37,15,5,1.3,0.684,1.3,0.3,2.1
Eric Moreland,26,67,12,1.8,0.541,4.1,1.2,2.1
Georgios Papagiannis,20,17,7.2,2.5,0.429,2.2,0.5,2.1
Ryan Arcidiacono,23,24,12.7,1.7,0.524,1,1.5,2
Luol Deng,32,1,13,2,0.5,0,1,2
Jeremy Evans,30,1,5,1,1,1,0,2
Daniel Hamilton,22,6,4.7,1.8,0.545,0.8,1.3,2
Gordon Hayward,27,1,5,2,0.5,1,0,2
Mangok Mathiang,25,4,5,1.8,0.571,2.5,0,2
Justin Patton,20,1,4,2,0.5,0,0,2
Quincy Pondexter,29,23,8.5,2.1,0.316,1.2,0.4,2
Devin Robinson,22,1,13,3,0.333,5,0,2
Edmond Sumner,22,1,2,1,1,1,0,2
Kyle Singler,29,12,4.9,1.8,0.381,0.8,0.2,1.9
Dakari Johnson,22,31,5.2,1.3,0.564,1.1,0.3,1.8
Marshall Plumlee,25,8,6.5,0.4,0.333,2.1,0.3,1.8
Derrick Walton,22,16,9.2,1.6,0.46,1,1,1.8
Larry Drew II,27,10,7,2.4,0.354,0.3,1,1.7
DeAndre Liggins,29,58,12.5,1.8,0.467,1.3,0.8,1.7
Damian Jones,22,15,5.9,1.5,0.5,0.9,0.1,1.7
Joakim Noah,32,7,5.7,1.4,0.5,2,0.6,1.7
Damien Wilkins,38,19,8,2.1,0.385,0.8,0.5,1.7
Matt Williams,24,3,3.7,2,0.417,0.3,0,1.7
Furkan Korkmaz,20,14,5.7,2,0.375,0.8,0.3,1.6
James Webb III,24,10,12,2.4,0.333,2.4,0.4,1.6
Andrew Bogut,33,24,9,1,0.68,3.3,0.6,1.5
Joel Bolomboy,24,6,6.3,1,0.5,1.7,0,1.5
Thomas Bryant,20,15,4.8,1.4,0.405,1.1,0.4,1.5
Vince Hunter,23,4,1.8,1.3,0.6,0.8,0,1.5
Richard Jefferson,37,20,8.2,1.4,0.481,0.9,0.8,1.5
Alfonzo McKinnie,25,14,3.8,1.1,0.633,0.5,0.1,1.5
Jeff Withey,27,10,3.9,1.6,0.438,1,0,1.5
Antonius Cleveland,23,17,7.2,1.2,0.452,0.8,0.1,1.4
Marcus Georges-Hunt,23,42,5.3,1.1,0.479,0.4,0.2,1.4
Markel Brown,26,4,7.8,1.8,0.357,1.3,0.5,1.3
Tim Quarterman,23,3,4.3,1,0.333,1,0.3,1.3
Ömer Aşık,31,18,10.1,1.2,0.409,2.6,0.2,1.2
Ike Anigbogu,19,11,2.7,0.8,0.444,0.8,0,1.2
Zhou Qi,22,18,6.9,1.8,0.219,1.2,0.1,1.2
Demetrius Jackson,23,15,5.3,1.2,0.417,0.8,0.6,1.1
Kadeem Allen,25,18,5.9,1.2,0.273,0.6,0.7,1.1
Darrun Hilliard,24,14,6.8,1.4,0.263,0.5,0.8,1.1
Matt Costello,24,4,8,1,0.5,2.3,0.5,1
PJ Dozier,21,2,1.5,1,0.5,0.5,0,1
Reggie Hearn,26,3,2.3,0.7,0.75,0,0,1
Scotty Hopson,28,1,8,1,0,0,1,1
Jake Layman,23,35,4.6,1.3,0.34,0.5,0.3,1
Georges Niang,24,9,3.6,1.2,0.364,1,0.3,1
Alex Poythress,24,25,4.2,1,0.5,0.7,0.1,1
Derrick Williams,26,2,4.5,2,0.25,0.5,0,1
D.J. Wilson,21,22,3.2,0.7,0.625,0.5,0.1,1
Tony Bradley,20,9,3.2,1.2,0.273,1.2,0.1,0.9
Julyan Stone,29,23,7.6,0.6,0.692,1.3,1.1,0.8
Jacob Wiley,23,5,6.6,0.8,0.375,2.2,0.4,0.8
Jacob Pullen,28,3,2,0.7,0.5,0,0,0.7
Josh Smith,32,3,4,1.3,0.25,1.3,0,0.7
Cole Aldrich,29,21,2.3,0.7,0.333,0.7,0.1,0.6
Vander Blue,25,5,9,1,0.2,0.2,0.6,0.6
Udonis Haslem,37,14,5.1,1.1,0.233,0.7,0.4,0.6
Charles Cooke,23,13,2.9,1.1,0.179,0.2,0.1,0.5
Xavier Munford,25,6,3.5,1,0.167,0.2,0.7,0.5
London Perrantes,23,14,4.7,0.9,0.154,0.3,0.4,0.5
Nate Wolters,26,5,3.8,1.2,0.167,0.4,0.2,0.4
Chris Boucher,25,1,1,1,0,1,0,0
Nicolás Brussino,24,4,2.5,0.5,0,0.8,0,0
Jarell Eddie,26,3,3,0.7,0,0.3,0,0
Mindaugas Kuzminskas,28,1,2,2,0,0,0,0
Tyler Lydon,21,1,2,0,,0,0,0
Erik McCree,24,4,2,0.5,0,0.3,0,0
Trey McKinney-Jones,27,1,1,0,,0,0,0
Josh McRoberts,30,2,3,0.5,0,0,0,0
Luis Montero,24,2,4,0.5,0,1,0,0
Ben Moore,22,2,4.5,0,,0.5,0.5,0
Xavier Silas,30,2,3.5,1.5,0,1,0,0
